"rep","run","bf_no_rvar","bf_rvar"
42,5,5.28311177381541e-16,705739681944123
43,5,3.40298000673112e-19,55194425213035.1
44,5,4.38031511118328e-18,4374704593191.83
45,5,4.62338470653074e-19,2587404672350498
46,5,3.87356835821893e-17,890599874410287
47,5,1.27157458465849e-18,178748223162625
48,5,5.63931792111593e-19,416052148267535
49,5,6.02920133081926e-17,165677512929393152
50,5,2.0116147551603e-17,27539996597320159232
51,5,2.14780654115861e-19,7680949460368913
52,5,7.95548910979792e-20,3199656187488885
53,5,3.91273599272379e-17,154823123485607
54,5,6.93923199805178e-17,1796332613121995
55,5,2.863196394238e-22,64690858456499224
56,5,9.09490053263983e-16,29238086829359.6
57,5,2.15871252993254e-21,652565079447250
58,5,1.84414558766664e-16,367560030176.668
59,5,3.356259596044e-19,137878624667140160
60,5,1.24706854761986e-14,528522618455551
61,5,4.88290656464054e-19,15450932590224076
62,5,3.19606321343196e-14,Inf
63,5,2.4118234477938e-14,69893119388881
64,5,3.19747244763477e-17,3844603039693144
65,5,2.18117594195987e-19,307527686473564224
66,5,7.80898057183254e-18,58330737745601864
67,5,3.3265445522236e-17,79192538610731472
68,5,3.59077005628585e-14,834030926788423424
69,5,9.49956606188876e-25,528493547669488
70,5,2.8696422770601e-17,32770660514491.8
71,5,1.0226013241756e-19,6804363494847577
72,5,3.85094853794551e-19,324820666312460
73,5,1.2317175907505e-18,21557951777440.6
74,5,2.21209164326321e-19,89061271498358736
75,5,9.19003481794724e-19,125979280117148400
76,5,1.61589600760186e-12,10205804142148919296
77,5,1.22174794468246e-21,828633753166061
78,5,5.49876478809613e-20,1740379134436969
79,5,2.27918248071642e-20,4268300073993654
80,5,9.80299589807069e-19,Inf
81,5,8.33710302846819e-16,3371506534710547456
82,5,3.6741137270577e-19,1424240719993011
83,5,5.59226250287799e-12,4635988813294460
84,5,7.58187920147634e-18,6653663406336386
85,5,3.69831225427921e-18,2031245014615.56
86,5,2.96337314938137e-17,986532759271919
87,5,4.80187503377309e-16,8.4845182576491e+19
88,5,1.27827560575391e-21,1373413653279768832
89,5,3.29732760536445e-14,10014248256554.8
90,5,5.8506991480912e-16,441862668990954688
91,5,8.54398060046107e-20,2356177971459.11
92,5,4.27350821068385e-20,57263913917312152
93,5,1.65554655077583e-14,374519338094742
94,5,3.94362808426585e-17,1537606857885.42
95,5,1.917478282529e-15,850146455728.305
96,5,1.69532325381963e-24,703730444869.047
97,5,6.24057443606833e-20,23235253350667
98,5,2.0111343495585e-18,88066485591185.3
99,5,2.76242932119584e-19,44106402154400.3
100,5,2.59714400440639e-15,15532896003167668
1,6,4.08402374236704e-17,1643222772014490
2,6,5.11777946283079e-19,214607674739.588
3,6,1.4187985502372e-16,Inf
4,6,1.85192059683399e-15,Inf
5,6,4.19614093806486e-16,Inf
6,6,7.57653242403542e-19,18484273739246.9
7,6,3.38712632762943e-19,Inf
8,6,8.9207675717717e-22,3738736966452950
9,6,1.44108001730892e-18,540069465945.345
10,6,6.24464414051061e-16,Inf
11,6,4.57915663772984e-15,Inf
12,6,3.80416276664582e-23,258507432211573
13,6,5.53656926580256e-18,Inf
14,6,9.75530311813483e-19,2216328296524533
15,6,1.99252191882773e-20,102714979333892
16,6,4.39258321611714e-16,64667351740
17,6,1.46966952363664e-19,Inf
18,6,4.65531333090599e-14,Inf
19,6,1.77151908309823e-18,495720241556133888
20,6,8.79437114605026e-15,Inf
21,6,1.60384068130452e-24,199976526292479040
22,6,3.91588426129113e-18,Inf
23,6,1.00228198103804e-17,756796843484441
24,6,2.99014921557192e-22,Inf
25,6,5.18191842652333e-17,Inf
26,6,9.58311301181608e-13,12399771931757606
27,6,1.81407076192465e-18,7089222666698156
28,6,4.48007619275536e-17,Inf
29,6,4.55440673465303e-16,Inf
30,6,2.74514690515594e-19,614160894905.703
31,6,3.89932113770517e-16,Inf
32,6,4.51270826525371e-18,4032211106022725
33,6,3.35092062891723e-21,4464968721673.36
34,6,4.44300492627333e-21,Inf
35,6,1.26576852440205e-17,2970789966438
36,6,2.34107532883283e-17,5084329195290.1
37,6,3.78341372447532e-17,Inf
38,6,5.96056371754612e-20,32916745669.5944
39,6,9.43987618022601e-22,Inf
40,6,5.43427256133541e-18,6679758319769.62
41,6,2.2452203575351e-17,364081938201.241
42,6,3.78005900967193e-20,936306331153494
43,6,7.52940821965638e-18,10939221032071144
44,6,2.19408927773183e-19,33452164470.277
45,6,1.74542664636848e-18,269414951705589
46,6,1.23267349152161e-15,572259989310.758
47,6,2.71366942250054e-14,1605018124187
48,6,8.76732140544126e-18,89415282147.8574
49,6,1.37562435693194e-15,12861117908.5805
50,6,3.66477012228496e-16,938979322053.427
51,6,3.04254439163653e-16,136219084.671587
52,6,2.24878911191809e-17,203398102152606
53,6,8.68363873569939e-21,1101710512527067
54,6,1.50586542892183e-22,708297414559448960
55,6,2.90613215553496e-19,852592251599955
56,6,1.33228844789782e-19,Inf
57,6,1.78065240077517e-14,59073453587643.5
58,6,4.17660792629244e-21,1447475411443847
59,6,1.11028912302065e-19,Inf
60,6,3.97448899446121e-16,7736880674448.67
61,6,1.91091036837696e-14,1572251297401781504
62,6,3.26872593068791e-16,162866938109.847
63,6,5.87378448901187e-16,251605795259.902
64,6,3.47813008690475e-21,9057410427162.41
65,6,4.26025315445983e-19,3818893067560782
66,6,1.37296575314016e-21,1012465900759222
67,6,1.06692987347463e-22,99698096177234.4
68,6,4.82034321091974e-17,149165183335869
69,6,1.48311147163621e-14,Inf
70,6,1.44763205033135e-21,80100830051933
71,6,7.31409479048438e-14,3763544842949641
72,6,1.31090358118642e-20,Inf
73,6,6.29516089095515e-16,Inf
74,6,2.8173840228554e-15,12462393818.8652
75,6,3.74175631758129e-16,Inf
76,6,8.05142463920112e-16,144663807767164
77,6,9.98442152197373e-18,2721561319670.9
78,6,2.5700116685888e-18,28926475608352
79,6,3.11828809718709e-20,11899902159290.7
80,6,6.06796703655056e-19,1793193016.56996
81,6,6.48956865387275e-25,1.07990856148597e+21
82,6,1.87628959920251e-13,2643760226942730
83,6,1.39247257456519e-13,3264654980.05003
84,6,2.22894373084226e-19,1600958373339091
85,6,1.29524845248812e-15,59182909977383.5
86,6,1.34791594175274e-19,Inf
87,6,7.58761162273004e-17,Inf
88,6,1.26646901762737e-16,73592462150.963
89,6,2.11204299585891e-15,241241477786892
90,6,4.62575354380725e-16,79733103851.3135
91,6,6.5824535637131e-17,322470669421309
92,6,5.35238760386296e-15,152241293547873
93,6,1.24453893121455e-18,4192084476677906432
94,6,8.85917806967547e-19,15922736464042752
95,6,1.9853036260127e-17,Inf
96,6,8.66727733582625e-20,175087987460333
97,6,2.87882451993016e-14,Inf
98,6,3.36485567812889e-19,Inf
99,6,8.04141238359104e-24,23515290794756
100,6,1.03153733877635e-17,Inf
1,7,1.67088383065209e-20,5426139290581605
2,7,2.70413105488385e-15,74505435152.3026
3,7,3.52721191976412e-19,7391621191747662
4,7,6.42841886392329e-22,56628210.1990927
5,7,1.85909084015179e-19,411308015.849687
6,7,1.23541964305076e-15,2.45197555900665e+22
7,7,9.25550645545903e-14,5920275.33609474
8,7,6.07830461372054e-18,996350452566062
9,7,1.78676376243129e-12,71623212571.3294
10,7,6.88283607527806e-17,97316.02647553
11,7,1.04053065739454e-21,9123059517.27213
12,7,3.77221221917242e-19,1163474854123391
13,7,4.65794064062163e-21,942649720955.442
14,7,4.23217913001422e-19,9503854.39211243
15,7,4.42354779667354e-21,206896663.151683
16,7,5.18898728712261e-22,387606899685578240
17,7,1.25426293961013e-16,5750006336297.31
18,7,1.82803902698088e-18,8312464670596250
19,7,2.47423774499758e-15,4120517193558494
20,7,3.0310050887953e-17,38414932408.662
21,7,1.44833188552956e-14,19208682812187795456
22,7,1.46228855832754e-16,19994149180624932
23,7,2.02495161796944e-21,151156621803.519
24,7,3.6880722311682e-22,295680406554.348
25,7,6.297885914604e-24,1468716858842373376
26,7,1.48522607428949e-18,463213189126.632
