"Run","Rep","Xseed","Yseed","Z","model","AddRE","MulRE","X1cor","X2cor","X3cor","Xtotcor"
1,1,1e+07,10000001,FALSE,"bin",TRUE,FALSE,-0.474242630484092,-0.129946257491683,-0.0753725135514406,-0.279495050215007
1,1,1e+07,10000001,FALSE,"nrm",TRUE,FALSE,-0.371056936079244,-0.231162530577942,-0.222017658386197,-0.411641763377964
1,2,1e+07,10000002,FALSE,"bin",TRUE,FALSE,-0.691759910071601,-0.238968696414014,0.206209123027468,-0.319177628417188
1,2,1e+07,10000002,FALSE,"nrm",TRUE,FALSE,-0.510413634914793,-0.136514788861503,-0.196507813984627,-0.3470844474138
1,3,1e+07,10000003,FALSE,"bin",TRUE,FALSE,0.247956696673062,0.286737536380994,-0.130270759173191,0.281391407865435
1,3,1e+07,10000003,FALSE,"nrm",TRUE,FALSE,0.0777657844740052,-0.0265452466226441,-0.0843366910506936,-0.0410952157389436
1,4,1e+07,10000004,FALSE,"bin",TRUE,FALSE,0.153470843263762,0.115650596246173,0.122241719353861,0.202340600815645
1,4,1e+07,10000004,FALSE,"nrm",TRUE,FALSE,0.204841394439877,0.369287100364815,0.293351784969742,0.530159532009137
1,5,1e+07,10000005,FALSE,"bin",TRUE,FALSE,0.137153503615245,0.420225460152458,-0.129903549130603,0.379539313829817
1,5,1e+07,10000005,FALSE,"nrm",TRUE,FALSE,0.0441602480551089,0.239775511327885,-0.018205095814455,0.231631470958929
1,6,1e+07,10000006,FALSE,"bin",TRUE,FALSE,0.0962905184719233,-0.185977175647077,0.160362572207585,-0.0829445910968265
1,6,1e+07,10000006,FALSE,"nrm",TRUE,FALSE,0.474092376256449,0.057661861273592,0.264888242490679,0.291964003432897
1,7,1e+07,10000007,FALSE,"bin",TRUE,FALSE,0.368474167703183,-0.225136824331859,-0.0270491691216613,-0.129502680900404
1,7,1e+07,10000007,FALSE,"nrm",TRUE,FALSE,0.0223212370173467,-0.142908093488422,-0.0603501108244503,-0.155882635595036
1,8,1e+07,10000008,FALSE,"bin",TRUE,FALSE,-0.116044538586386,-0.000283904446141914,0.462176477904656,0.167535026114728
1,8,1e+07,10000008,FALSE,"nrm",TRUE,FALSE,-0.117829068673222,-0.380621341388486,0.527006127730946,-0.166674724575015
1,9,1e+07,10000009,FALSE,"bin",TRUE,FALSE,0.0345598402626786,-0.0651218238089323,-0.194764975027244,-0.136355721006346
1,9,1e+07,10000009,FALSE,"nrm",TRUE,FALSE,0.215333102221108,-0.044527723121178,-0.0228283356380834,0.00404645763223598
1,10,1e+07,10000010,FALSE,"bin",TRUE,FALSE,-0.101641005424174,0.51540779050611,-0.0881322596267689,0.425642009236165
1,10,1e+07,10000010,FALSE,"nrm",TRUE,FALSE,0.0743703489485155,0.540866797654876,-0.110780633294504,0.486036599150747
1,11,1e+07,10000011,FALSE,"bin",TRUE,FALSE,-0.217729958269098,-0.249896156301473,0.431049128311037,-0.109589858054944
1,11,1e+07,10000011,FALSE,"nrm",TRUE,FALSE,0.27261922534944,0.224877078783904,0.151650477670901,0.349840212086763
1,12,1e+07,10000012,FALSE,"bin",TRUE,FALSE,0.0652886435374891,0.199474733375882,-0.0617015234257191,0.180193200690281
1,12,1e+07,10000012,FALSE,"nrm",TRUE,FALSE,0.263541674746258,-0.0671823307067485,-0.282856940113673,-0.116351916556407
1,13,1e+07,10000013,FALSE,"bin",TRUE,FALSE,0.0274217720360862,0.32477412432379,0.199798887446372,0.401487609244368
1,13,1e+07,10000013,FALSE,"nrm",TRUE,FALSE,0.0847752774388294,0.182018050805515,-0.0565924989071455,0.170871129926725
1,14,1e+07,10000014,FALSE,"bin",TRUE,FALSE,-0.035008742934111,-0.146536426730777,0.13711445390665,-0.0896580831300964
1,14,1e+07,10000014,FALSE,"nrm",TRUE,FALSE,-0.223044209190537,-0.195229165145144,0.169528323989636,-0.171087993725035
1,15,1e+07,10000015,FALSE,"bin",TRUE,FALSE,-0.0169802409805662,0.257800134841026,0.295312451602891,0.367179291010675
1,15,1e+07,10000015,FALSE,"nrm",TRUE,FALSE,-0.174353708198308,-0.0819286824434211,0.314066515836309,0.0112490423673712
1,16,1e+07,10000016,FALSE,"bin",TRUE,FALSE,0.168515604268078,0.230361536294918,-0.530536301385568,0.0355515252975278
1,16,1e+07,10000016,FALSE,"nrm",TRUE,FALSE,0.410943817486271,0.103835927930282,-0.205447238041942,0.11782253878808
1,17,1e+07,10000017,FALSE,"bin",TRUE,FALSE,0.0929582692380074,-0.129496777520933,0.248737094982827,0.00774670396459129
1,17,1e+07,10000017,FALSE,"nrm",TRUE,FALSE,-0.046686899327055,-0.115342989038701,0.137553393368293,-0.062864711387007
1,18,1e+07,10000018,FALSE,"bin",TRUE,FALSE,-0.15702673853317,0.167831930582328,-0.237673817710437,0.0167257851086707
1,18,1e+07,10000018,FALSE,"nrm",TRUE,FALSE,-0.101332661993091,-0.00873344463371521,0.0558821122719854,-0.0107788635321585
1,19,1e+07,10000019,FALSE,"bin",TRUE,FALSE,0.0960514430136541,0.0290921523906589,-0.233958988584288,-0.047561999563926
1,19,1e+07,10000019,FALSE,"nrm",TRUE,FALSE,0.0385389693041154,-0.0224162068204181,-0.0523939820751286,-0.0337109039180991
1,20,1e+07,10000020,FALSE,"bin",TRUE,FALSE,-0.403534400991354,0.107537274730623,0.249058614836051,0.103718973804401
1,20,1e+07,10000020,FALSE,"nrm",TRUE,FALSE,-0.605524274189761,-0.0650336616566171,0.0223349716131801,-0.210155908392438
