"rep","run","trial","bf_no_rvar","bf_rvar"
11,7,3,4.92559137160015e-25,41326299036015784
11,7,4,1.29299720195064e-18,62054567151867072
11,7,5,1.39027488339528e-14,1.26794869382421e+23
11,7,6,1.47162706049531e-28,501492520.809261
11,7,7,7.98960577938467e-25,373241666.233798
11,7,8,2.61100748072886e-19,229668.890866016
11,7,9,7.33500746892555e-22,359461224437484
11,7,10,1.34811159495881e-17,216661362032546
11,7,11,2.49710292851036e-21,26653487970915.7
11,7,12,2.35979234801091e-32,4.53301936504415e+20
11,7,13,2.50939970622206e-22,4927232.53234385
11,7,14,1.66385636932399e-29,606833110.42292
11,7,15,4.07442261602935e-20,2.75268419900189
11,7,16,1.10830490860164e-16,2753996567298945536
11,7,17,3.92229736620476e-24,1927.14477194461
11,7,18,1.67463111689106e-20,9.74051076348517e+21
11,7,19,6.48399755278481e-29,4085969611494884
11,7,20,8.14623029585317e-30,1838577619120494
12,7,1,9.65169488600233e-25,107342149595.714
12,7,2,6.79950757840984e-14,36967652.8686618
12,7,3,1.14274247844005e-24,20296523005.5645
12,7,4,1.56726313275522e-10,2.75310626710948e+21
12,7,5,8.21222779508573e-09,1128671529259681
12,7,6,3.45214449572827e-28,158217143455292
12,7,7,4.60982517884164e-19,24317747046.5312
12,7,8,5.63541773567984e-24,25116.9789490405
12,7,9,9.09846030171402e-22,28416577700547436
12,7,10,1.55346147242684e-14,8147257247804.24
12,7,11,2.36669515838735e-15,18326312667.5983
12,7,12,8.67436946775205e-27,1894264259035065088
12,7,13,1.74211793184167e-16,3150838763.34237
12,7,14,6.23219944464546e-28,196533.929432065
12,7,15,3.60374677519165e-17,16.3880625530387
12,7,16,5.70811941436263e-14,1.59638879741583e+21
12,7,17,2.54000503249449e-21,2494.0939187702
12,7,18,1.88771110609335e-25,7512294399293101
12,7,19,3.48627158744212e-30,10914649868915.7
12,7,20,2.45027574577008e-19,63787.8792815794
13,7,1,1.17474518872891e-28,16306175885.4245
13,7,2,6.79150557360118e-24,6589611361.12525
13,7,3,8.22515213987189e-24,935205356685764
13,7,4,7.54698762201161e-18,28259853642953412
13,7,5,7.78838511884023e-15,8.43604890450876e+20
13,7,6,7.46432305525537e-34,1583722.0635352
13,7,7,9.21183250461093e-29,1679168245.94273
13,7,8,7.76754199019519e-25,5234.95323107045
13,7,9,3.10049011672186e-23,6224996550842487
13,7,10,5.01568808367408e-19,159636034052086
13,7,11,4.76898502329077e-19,1860431577981182
13,7,12,1.67383159089201e-30,598041516935124352
13,7,13,2.30667421985857e-23,1890896307.09479
13,7,14,1.1233047221801e-27,60790153920.3564
13,7,15,2.37983176833328e-20,1011.9978420746
13,7,16,1.15497908499304e-17,6300168671878919168
13,7,17,1.77380224563194e-24,78646.0936481485
13,7,18,1.9995280793469e-21,44951470138646448
13,7,19,2.93338608695608e-27,62182476322608.7
13,7,20,4.89522412421955e-26,43206662827966.4
14,7,1,2.9533333605138e-25,52834424530416.3
14,7,2,8.24595915140829e-18,420264613.703346
14,7,3,1.90167051611063e-20,10418424743177.8
14,7,4,2.32517264547135e-15,893317241149916
14,7,5,2.81398434612577e-12,2.60240913636887e+24
14,7,6,2.97438495664305e-24,34991430.8297905
14,7,7,6.26767186809525e-26,834965.44106612
14,7,8,1.31370117206505e-18,4515.49335178905
14,7,9,2.93827269923568e-22,68368133610898.4
14,7,10,4.9557262301742e-18,42130925720.243
14,7,11,4.58541641918506e-17,24502197744387.9
14,7,12,6.30893029810109e-20,622298734576.916
14,7,13,3.13006661221472e-23,7003864.53645219
14,7,14,1.92850430857399e-20,166.531906548261
14,7,15,8.37505433322948e-15,4611.94760884093
14,7,16,2.37663063188112e-10,64926745004516188160
14,7,17,2.03622629554898e-18,98.0686713194886
14,7,18,1.24004628330778e-17,469506551466246
14,7,19,5.32982374953037e-26,854772314.713884
14,7,20,1.10404163541166e-22,1216142183523.13
15,7,1,3.74636808015142e-24,20190596043442
15,7,2,5.97271090680535e-22,193305076972.125
15,7,3,4.47111153645399e-26,7066277836.92292
15,7,4,4.28888176394729e-16,42142586671072056
15,7,5,4.68763129778928e-12,1260932440129027840
15,7,6,7.21165499517302e-30,33068429.2966065
15,7,7,1.9403093767859e-20,86069927.7537713
15,7,8,1.77668923142568e-18,2253.12008312923
15,7,9,2.16363214637098e-22,8185626478490.29
15,7,10,4.509058219401e-16,43270264384792608
15,7,11,1.12492586672773e-19,202587911944.629
15,7,12,5.19935287612511e-28,7772801140.99056
15,7,13,1.26271932984649e-20,643584.844575316
15,7,14,1.75703122958764e-23,350045270562.028
15,7,15,6.60302924913151e-16,2245.42238466248
15,7,16,5.46924484413368e-18,836367599095064576
15,7,17,2.27344602627102e-22,4460.9211813875
15,7,18,7.29213039262393e-28,156486523893428
15,7,19,1.38864961964215e-21,207734521.878257
15,7,20,2.7036162627467e-24,2508859785429.29
16,7,1,2.39265822563319e-23,141494868789686832
16,7,2,2.48401329622207e-20,20615763261.7336
16,7,3,1.97919500713333e-21,4097543145132948
16,7,4,2.11271563864169e-13,9866416648286087168
16,7,5,2.62689441062275e-07,1.21660863698307e+29
16,7,6,2.98542908082182e-24,31351409757.6231
16,7,7,1.28655264973312e-26,5364705070179.26
16,7,8,1.48963201718168e-16,50826.6623439064
16,7,9,2.02956445997406e-22,788508550254823936
16,7,10,3.48140650769546e-17,1624916676403858432
16,7,11,4.40345875772337e-15,13965660137.0135
16,7,12,1.55760323952718e-26,412860552954100
16,7,13,2.73759472741567e-17,2105473.07632168
16,7,14,3.04605541153735e-25,262431.762644875
16,7,15,1.96770005986863e-19,40.6364321487415
16,7,16,4.08177110421515e-17,87149407991196286976
16,7,17,9.39157510532072e-18,2465636.43492077
16,7,18,2.40825460460824e-25,3.80379514465375e+20
16,7,19,3.41545275488048e-25,110102216171356
16,7,20,4.0528725397274e-26,12930930.6062562
17,7,1,4.09679166769823e-25,1786548857.44414
17,7,2,8.10222881031178e-17,24979368499.8197
17,7,3,1.50568835714275e-25,1324569428364.46
17,7,4,4.03789671107988e-13,26146068494465528
17,7,5,5.03068546475735e-11,824461997164.75
17,7,6,7.74130192549423e-33,43033445245.7383
17,7,7,3.3091517394339e-23,157024325.525696
17,7,8,4.51851825501513e-23,1311334.44365606
17,7,9,1.70626514856631e-23,293341662849251
17,7,10,3.18055192212333e-16,942835998.478119
17,7,11,1.34395885425929e-16,5696441864539985
17,7,12,1.29013173403435e-26,19587102941145616
17,7,13,4.74348114431705e-20,21962069.4480243
17,7,14,7.27796094287815e-28,17324309596.4571
17,7,15,7.39427076207228e-17,12581506.1673021
17,7,16,3.93247900259972e-17,21336397095753846784
17,7,17,8.91137266736654e-23,24.2886346702209
17,7,18,6.6882387668055e-23,8773413208969903
17,7,19,1.35454390614262e-27,71507298.2254207
17,7,20,9.94333408312301e-20,35731992246.3702
18,7,1,3.2145168088731e-28,104093931053.516
18,7,2,3.8018312568164e-20,4091901943086.55
18,7,3,1.03319813068832e-26,211590847107.95
18,7,4,1.67647245424857e-11,89734613192043200
18,7,5,4.8393523054336e-12,6.53549125040633e+21
18,7,6,1.01758477704998e-29,216429100652.151
18,7,7,2.19460073082026e-23,9066782787402.29
18,7,8,2.4591861857574e-14,0.118967331856182
18,7,9,1.07392684018086e-20,8157460457379159040
18,7,10,3.11675918485113e-22,19468606887600.6
18,7,11,2.07683499001542e-21,6070993241706.96
18,7,12,3.8429415293477e-26,8287949470859686
18,7,13,1.96634538472094e-18,16738435490.6621
18,7,14,1.47710289881994e-26,42434167400410.4
18,7,15,3.93253534389951e-22,28438.9249155904
18,7,16,5.45863168174119e-23,2.84299701425311e+22
18,7,17,8.29408328136477e-26,150356.59654609
18,7,18,3.59386704287004e-18,1632187624487919616
18,7,19,8.7006903489204e-31,17628058819830824960
18,7,20,2.53388325482291e-24,480303847535767040
19,7,1,7.76519429740021e-22,1562204972.29575
19,7,2,3.09104279110921e-17,1563568537.07509
19,7,3,5.51557260161047e-24,365169730100868
19,7,4,1.12458433572221e-12,14415445807952844
19,7,5,2.77919170282269e-11,158074642028492544
19,7,6,4.69016190190424e-31,31682049.5129652
19,7,7,1.09507241190877e-20,263728979.4559
19,7,8,7.95499307470814e-23,0.231568905027761
19,7,9,7.38039644694598e-22,188474319495036
19,7,10,1.08144182799638e-17,337168453.061865
19,7,11,8.28870883924345e-15,1670404201.73368
19,7,12,4.50666612365567e-27,91156947342602560
19,7,13,7.38991770222579e-16,127347447.978296
19,7,14,6.49338301971115e-28,106524774.168676
19,7,15,3.01928670114359e-18,49.7990808610092
19,7,16,1.73899391532816e-13,16342519108273876992
19,7,17,4.16367180552352e-18,531.671395928984
19,7,18,2.43730896132975e-23,10275326790122318
19,7,19,5.61930655249283e-23,4119489805191111
19,7,20,5.31475291863549e-20,46169189.9824673
20,7,1,4.95006258911598e-23,12886223.6444536
20,7,2,9.63298905182862e-20,31095.5611424388
20,7,3,1.0965778897888e-24,83903368.0388121
20,7,4,2.77916125412557e-09,9476284489099.07
20,7,5,9.75977939391767e-09,2889704177329.73
20,7,6,1.08247858542261e-28,286683.683966547
20,7,7,7.95531561787473e-25,1537169.96734888
20,7,8,1.03885865828313e-19,4.29035810552143
20,7,9,8.39608571365841e-18,6877691926.11329
20,7,10,2.66066486663538e-22,31908372.7446562
20,7,11,1.49107759220905e-19,918964963826.208
20,7,12,1.60030555307204e-26,1528733166.38775
20,7,13,4.9648690279723e-21,23735840.1562493
20,7,14,3.65971870414051e-21,4444945384859.61
20,7,15,1.31994885252399e-14,0.0055005239702736
20,7,16,2.226168393639e-19,8690679361376109568
20,7,17,3.06337790037173e-21,623852.842648541
20,7,18,6.66410265527646e-23,113343729791.003
20,7,19,3.10094631716697e-20,418383.372317551
20,7,20,5.01198822975162e-24,18601476950208472
21,7,1,7.01715825187756e-21,2987411420344.07
21,7,2,1.40356228578609e-18,314967127632.571
21,7,3,2.45321065410115e-21,47711276647946.1
21,7,4,2.66289178498623e-13,126111638841016
21,7,5,4.64840225653181e-14,92503566496866238464
21,7,6,2.5162591104453e-27,44758.3112479438
21,7,7,9.98390873491907e-21,113164486.743976
21,7,8,1.25654649166756e-17,0.120888439730463
21,7,9,1.03602673559126e-15,10797284343176.9
21,7,10,7.61729497769962e-20,2848843367094554
21,7,11,2.52827375153544e-12,5984312632774359
21,7,12,8.73785937120011e-19,10644071537740.4
21,7,13,6.03023230491289e-13,15818.3118225473
21,7,14,6.64782996356726e-24,63760380694.0136
21,7,15,2.34420702027871e-17,8.64471072179499
21,7,16,3.75210592820584e-16,3131873957919498752
21,7,17,2.09110912064599e-15,61.3790314747443
21,7,18,4.67916761740023e-22,665346079139256
21,7,19,1.56767312977525e-12,1176222104384554496
21,7,20,6.9945657238477e-09,3839945267387.52
22,7,1,6.49042654705639e-20,95392048400876.7
22,7,2,4.87725584208924e-14,6507219128067815
22,7,3,1.97474854190804e-21,115340193145764352
22,7,4,5.30205220814184e-16,4.03370431314499e+20
22,7,5,9.94363660097774e-09,2602695300620847616
22,7,6,5.10857528667796e-25,244587.337538572
22,7,7,2.72725208595612e-22,49019116482305.7
22,7,8,2.21388662890498e-19,1.31618583797446
22,7,9,1.94282734772463e-18,12037474692401459200
22,7,10,1.79240438616118e-15,6420709494444.3
22,7,11,2.22910249799761e-16,92574701709.0519
22,7,12,9.86114523754974e-21,1334406032980.45
22,7,13,3.92135634171632e-13,2711938.59323382
22,7,14,7.55683967518421e-26,324519624995416
22,7,15,7.29120749484542e-21,4.27973763755712
22,7,16,2.6498382772287e-17,13128997608254464000
22,7,17,8.83299526302026e-17,8072.54014974948
22,7,18,7.82786451720079e-18,601003459026449408
22,7,19,1.4504586522713e-26,36753600468046048
22,7,20,1.21874910740804e-25,33341059411.6474
23,7,1,4.4747582006056e-29,37925185545923200
23,7,2,7.51575279672943e-16,5347028441352715
23,7,3,1.1262956214043e-23,105112994966898576
23,7,4,6.35702311118441e-21,17931456800301186
23,7,5,1.42248389360204e-11,611160172722278
23,7,6,5.78602571718693e-27,15777266982000.1
23,7,7,7.55915055616746e-22,529735996545.686
23,7,8,1.86304430607474e-19,1122230925.88938
23,7,9,1.39326005942791e-24,135501712835916736
23,7,10,1.07590359102881e-15,2.36274643338189e+22
23,7,11,3.20997758475157e-17,217694384966211488
23,7,12,1.18563193303288e-30,3090900417091403264
23,7,13,2.05268364306446e-20,220537059.617579
23,7,14,2.87443356623928e-27,775834076594.365
23,7,15,5.19677072504854e-18,67.4657676151364
23,7,16,1.85638681072314e-15,41162985381958968
23,7,17,2.34788544422083e-25,33366.9340351839
23,7,18,4.27213377260997e-22,1.13399701447295e+21
23,7,19,3.3674392159862e-29,469609948179.583
23,7,20,8.49395818273535e-30,238347565904.822
24,7,1,5.51127806965885e-27,1127987912879.39
24,7,2,4.9753329284098e-19,5456668823.96634
24,7,3,9.78999853668705e-27,646739037737704
24,7,4,5.34814805391535e-13,289224087427828544
24,7,5,2.0345195787663e-13,345777087024969216
24,7,6,2.82175718187626e-26,55196176194.1227
24,7,7,1.49672835785078e-22,95693863420.7433
24,7,8,5.34012315509118e-24,15572.2092274462
24,7,9,1.2446969061389e-25,8896969768165161
24,7,10,7.27818998958402e-18,31881115679077804
24,7,11,1.58578181141498e-20,8941495753018.85
24,7,12,3.39282708628682e-30,78836433738745040
24,7,13,2.52931937379934e-19,1259299997.73219
24,7,14,2.33828597598452e-26,35090969.1162662
24,7,15,3.98676112504344e-18,0.27620628786514
24,7,16,1.39490041246262e-13,2.12194051190191e+22
24,7,17,1.18971655613671e-23,105595.70791494
24,7,18,3.69844547997009e-24,654683054218691712
24,7,19,8.05136989578991e-28,1411505980145454
24,7,20,5.90380648264458e-25,844727.270507242
25,7,1,1.04823933572037e-24,102138454108583280
25,7,2,1.21518299169628e-19,3158874422510.6
25,7,3,5.21915141363104e-22,2835026486.63471
25,7,4,4.66374288538693e-13,18003471420665352192
25,7,5,2.56380613639969e-14,1.60592226998079e+23
25,7,6,6.49027724896616e-32,731205309011.258
25,7,7,3.83233957062381e-25,507783644926.194
25,7,8,5.2672987361333e-21,0.0970615720434291
25,7,9,2.78567888354291e-24,8033932351306973
25,7,10,5.37913021445462e-24,10585214015616.9
25,7,11,3.49940263529241e-16,115368348579.539
25,7,12,3.63358859275757e-28,4043497536585.65
25,7,13,1.93784087408004e-20,277404.96024869
25,7,14,1.03435048056234e-28,33487932.1449516
25,7,15,7.53493936008925e-20,74.6155441053638
25,7,16,9.38516824524066e-17,6.59952877459484e+23
25,7,17,3.80454325129986e-23,7.8303193503494
25,7,18,2.40191008022085e-27,524762224329224
25,7,19,3.10646655721839e-17,1418699152498731520
25,7,20,2.17296556216885e-19,9217389.65803735
26,7,1,1.44885157962655e-22,3393703814.03398
26,7,2,3.492704493317e-19,2718047780.37244
26,7,3,9.71118119107467e-23,284263076.006503
26,7,4,6.05662447306299e-11,2294216138475.88
26,7,5,6.99910805491925e-10,22438867351183576
26,7,6,3.93409430691366e-28,18674.8935668459
26,7,7,1.9630050313678e-21,5619735988.00997
26,7,8,8.06442052630437e-17,1775.03651054885
26,7,9,3.02634212922661e-19,608963120806141
26,7,10,2.01274129868607e-18,14219337223490.9
26,7,11,7.02207850274078e-19,667376756580928
26,7,12,1.43024974269882e-22,344870271326213
26,7,13,2.33366181661487e-20,3290350.60638786
26,7,14,2.96544867825595e-22,253812367.118955
26,7,15,1.33023877546333e-17,1730.12918827594
26,7,16,2.06421425075279e-20,3297183409443388416
26,7,17,8.96883115451572e-19,44561.6319354993
26,7,18,2.03049226786226e-23,11391731335527
26,7,19,5.58875864619467e-26,214041329822.699
26,7,20,2.04425302952618e-21,6120.25044468799
27,7,1,1.54547866574069e-21,281850680846111
27,7,2,1.5457088084523e-18,1945181.89803101
27,7,3,1.14359729117574e-23,5646657844.58671
27,7,4,6.91112320971521e-14,11847697396334
27,7,5,6.99125027276822e-13,5.80137156855763e+20
27,7,6,5.79860598866186e-28,786312576.057052
27,7,7,8.4904725373098e-26,850173185.052927
27,7,8,6.18818901525123e-22,1.09352951351019
27,7,9,2.03872393273882e-17,15005637481334.4
27,7,10,1.40143141262594e-15,790167758026.216
27,7,11,3.38653349314109e-17,1793220881937.35
27,7,12,1.58199333125268e-25,42381934853424.3
27,7,13,5.26997878879093e-22,681.381261454709
27,7,14,1.7033248971914e-22,118730451.012578
27,7,15,1.42082126206621e-19,0.397192376991352
27,7,16,1.09387914173464e-17,7259236898941606912
27,7,17,4.19272260967641e-19,1.5960098537351
27,7,18,7.8862336386507e-23,49676430509851.9
27,7,19,1.54965959414681e-24,50167009131839.3
27,7,20,1.83637612061444e-23,380001688057.601
28,7,1,2.63960246267986e-28,2386596548186229
28,7,2,1.08173786419573e-24,372498887677.999
28,7,3,2.46786732334583e-26,40411256622939.2
28,7,4,8.16308121191537e-18,855078971902311296
28,7,5,1.73485685650345e-15,8.13845241070218e+22
28,7,6,5.41541929185394e-33,7210102569.42228
28,7,7,4.22577883101776e-27,779071800.471453
28,7,8,1.21499292983203e-25,120.205666503161
28,7,9,1.83277890232196e-21,54556408030910
28,7,10,1.55893609205794e-20,57344212452300160
28,7,11,1.72563014776946e-21,774655817395809
28,7,12,2.53876598954577e-31,225032411179276384
28,7,13,3.95946989524926e-23,267997869.097749
28,7,14,4.12523923870512e-26,997111619.707116
28,7,15,3.94214116075938e-23,36.8239840857701
28,7,16,8.42103420092408e-22,21603790240174260224
28,7,17,2.56515410098754e-24,35642.7235840767
28,7,18,4.1990099105645e-23,90307984977822.4
28,7,19,1.15189131307144e-30,2110449173712.32
28,7,20,3.65585818549429e-27,63903861358275160
29,7,1,1.70782889784668e-20,1002548961772311
29,7,2,3.62341150226042e-18,8024308.1874385
29,7,3,3.89883043844695e-22,226614673.318876
