"Run","Rep","Xseed","Yseed","Z","model","AddRE","MulRE","X1cor","X2cor","X3cor","Xtotcor"
1,1,1e+07,10000001,FALSE,"bin",TRUE,FALSE,-0.438772564166573,-0.184381728902283,-0.0731556871145546,-0.321038332160877
1,1,1e+07,10000001,FALSE,"nrm",TRUE,FALSE,-0.363454755082709,-0.227470172642998,-0.201433815324727,-0.39732822186829
1,2,1e+07,10000002,FALSE,"bin",TRUE,FALSE,-0.696683686299274,-0.274834407271609,0.24765092598159,-0.336793562860211
1,2,1e+07,10000002,FALSE,"nrm",TRUE,FALSE,-0.521730734881035,-0.0845951002021821,-0.209790665079767,-0.306376231851568
1,3,1e+07,10000003,FALSE,"bin",TRUE,FALSE,0.206721754377754,0.201590192886695,-0.133823341413968,0.188179305421827
1,3,1e+07,10000003,FALSE,"nrm",TRUE,FALSE,0.0222412214643583,-0.0566411716486494,-0.0675510839728011,-0.0769890272946683
1,4,1e+07,10000004,FALSE,"bin",TRUE,FALSE,0.172866201105208,0.082100162257197,0.106851684528159,0.168911971443259
1,4,1e+07,10000004,FALSE,"nrm",TRUE,FALSE,0.191334287572475,0.393671362223238,0.274140846950441,0.541582503933134
1,5,1e+07,10000005,FALSE,"bin",TRUE,FALSE,0.0770561983899195,0.263609085041489,-0.0662505115250749,0.242274994024704
1,5,1e+07,10000005,FALSE,"nrm",TRUE,FALSE,0.00812640296198257,0.236415093819356,-0.0240157531252822,0.216550064191573
1,6,1e+07,10000006,FALSE,"bin",TRUE,FALSE,0.0644648653732041,-0.239285520262208,0.191483072748401,-0.12857928616552
1,6,1e+07,10000006,FALSE,"nrm",TRUE,FALSE,0.464172057120493,0.0657520531151966,0.244491432853493,0.288325913357245
1,7,1e+07,10000007,FALSE,"bin",TRUE,FALSE,0.359031727350615,-0.270846746974284,-0.0405190195237104,-0.181186934738996
1,7,1e+07,10000007,FALSE,"nrm",TRUE,FALSE,-0.00128543108678824,-0.176014574979572,-0.0536608735998754,-0.190641309057461
1,8,1e+07,10000008,FALSE,"bin",TRUE,FALSE,-0.119813966166477,0.0241603435540937,0.477577952447581,0.19638770402802
1,8,1e+07,10000008,FALSE,"nrm",TRUE,FALSE,-0.154953858430797,-0.307536385467754,0.533650946574485,-0.104038128206635
1,9,1e+07,10000009,FALSE,"bin",TRUE,FALSE,0.0607167796489838,-0.126940801812865,-0.191962715289056,-0.187095162071907
1,9,1e+07,10000009,FALSE,"nrm",TRUE,FALSE,0.210570838249902,0.0332847730258483,-0.0579740484402578,0.0617069018264895
1,10,1e+07,10000010,FALSE,"bin",TRUE,FALSE,-0.110920982198178,0.519077113295537,-0.0445889816320355,0.445370423046043
1,10,1e+07,10000010,FALSE,"nrm",TRUE,FALSE,0.0830013704973797,0.578491914928306,-0.127909793675635,0.516710977886006
1,11,1e+07,10000011,FALSE,"bin",TRUE,FALSE,-0.245400856856854,-0.26226184248223,0.431484849236508,-0.128373346854389
1,11,1e+07,10000011,FALSE,"nrm",TRUE,FALSE,0.244349730901654,0.289084560684811,0.11961368483457,0.389770553531012
1,12,1e+07,10000012,FALSE,"bin",TRUE,FALSE,0.0894828553360195,0.13560671050888,-0.0382932505867504,0.135824984673558
1,12,1e+07,10000012,FALSE,"nrm",TRUE,FALSE,0.25613002566977,-0.0278401640652416,-0.318752154854581,-0.0962713162197169
1,13,1e+07,10000013,FALSE,"bin",TRUE,FALSE,-0.00606937401594641,0.344487780405779,0.184196092183757,0.404805755081495
1,13,1e+07,10000013,FALSE,"nrm",TRUE,FALSE,0.0428177179880496,0.208179620046371,-0.0466631094127795,0.189052308916855
1,14,1e+07,10000014,FALSE,"bin",TRUE,FALSE,0.0519528024961409,-0.128416041533187,0.10298510023686,-0.0643820434028087
1,14,1e+07,10000014,FALSE,"nrm",TRUE,FALSE,-0.229065193245513,-0.141959819186708,0.154078464579687,-0.128644412956627
1,15,1e+07,10000015,FALSE,"bin",TRUE,FALSE,-0.0154196734831173,0.239638110935396,0.320983086395678,0.361323701386186
1,15,1e+07,10000015,FALSE,"nrm",TRUE,FALSE,-0.205939976533299,-0.0877205787654645,0.324821696342995,0.00211560653697747
1,16,1e+07,10000016,FALSE,"bin",TRUE,FALSE,0.154307241173263,0.195350643567346,-0.465056568102464,0.0266284095431675
1,16,1e+07,10000016,FALSE,"nrm",TRUE,FALSE,0.388629473805539,0.135034291991128,-0.225799724040103,0.132936622488893
1,17,1e+07,10000017,FALSE,"bin",TRUE,FALSE,0.115234588965898,-0.129133020947381,0.24697688528975,0.0131474071020026
1,17,1e+07,10000017,FALSE,"nrm",TRUE,FALSE,-0.0381618679103475,-0.0482792595399962,0.101007589503892,-0.0125563553285799
1,18,1e+07,10000018,FALSE,"bin",TRUE,FALSE,-0.145902914455489,0.178247992978107,-0.267688229508866,0.0166648304324254
1,18,1e+07,10000018,FALSE,"nrm",TRUE,FALSE,-0.104271470451613,0.0668467350033273,0.0196156616705779,0.0447548961139688
1,19,1e+07,10000019,FALSE,"bin",TRUE,FALSE,0.0920560749248202,-0.0226626122205317,-0.282732559914269,-0.118701167117388
1,19,1e+07,10000019,FALSE,"nrm",TRUE,FALSE,0.0274700829866552,0.020513421373489,-0.0677947099162913,-0.00239102689685182
1,20,1e+07,10000020,FALSE,"bin",TRUE,FALSE,-0.418498089078651,0.100252053281829,0.236854219706611,0.0876615453679919
1,20,1e+07,10000020,FALSE,"nrm",TRUE,FALSE,-0.631471839193591,-0.007798661945069,0.0257271568690531,-0.161064487110715
