"Run","Rep","Xseed","Yseed","Z_additive","Z_multiplicative","AddRE","MulREdim","Variable","TrueValue","Estimate","Variance","Confidence","CI_low","CI_high"
2,1,2e+07,20000001,FALSE,FALSE,FALSE,0,"intercept",-1,-1.10314052591287,0.0363388415119384,0.9,-1.42272933864294,-0.803589016296219
2,1,2e+07,20000001,FALSE,FALSE,FALSE,0,"X1_groups",1,0.996939101499267,0.0133421339352191,0.9,0.813603894560163,1.18977465903541
2,1,2e+07,20000001,FALSE,FALSE,FALSE,0,"X2_dist",1,1.07306681592229,0.02167808492371,0.9,0.853423261708723,1.3414133140621
2,1,2e+07,20000001,FALSE,FALSE,FALSE,0,"X3_norm",1,0.920322488735767,0.0150974207311267,0.9,0.704133293339117,1.12377865239813
2,1,2e+07,20000001,FALSE,FALSE,FALSE,0,"X4_row",1,1.02148294177434,0.0142523407222321,0.9,0.851526239039244,1.22888788853448
2,1,2e+07,20000001,FALSE,TRUE,FALSE,0,"intercept",-1,-0.382851831645481,0.0179157180364444,0.9,-0.598741372844866,-0.165393827066605
2,1,2e+07,20000001,FALSE,TRUE,FALSE,0,"X1_groups",1,0.633895206794451,0.00625195862293079,0.9,0.51358751563853,0.770828145510593
2,1,2e+07,20000001,FALSE,TRUE,FALSE,0,"X2_dist",1,0.389279725957326,0.0078073349533926,0.9,0.250414571604053,0.538846026750161
2,1,2e+07,20000001,FALSE,TRUE,FALSE,0,"X3_norm",1,0.518660957503335,0.00905111914278988,0.9,0.372919770190162,0.687046057229055
2,1,2e+07,20000001,FALSE,TRUE,FALSE,0,"X4_row",1,0.606602287616787,0.00552104070844016,0.9,0.487985701027111,0.736045034278793
2,1,2e+07,20000001,FALSE,FALSE,FALSE,1,"intercept",-1,-1.19100216466119,0.0456229190233896,0.9,-1.54810106855875,-0.84704725431731
2,1,2e+07,20000001,FALSE,FALSE,FALSE,1,"X1_groups",1,1.0555803621933,0.0191088672012985,0.9,0.831594767410254,1.29262884805242
2,1,2e+07,20000001,FALSE,FALSE,FALSE,1,"X2_dist",1,1.14983580597141,0.0291084566055758,0.9,0.871367025043747,1.44589265421292
2,1,2e+07,20000001,FALSE,FALSE,FALSE,1,"X3_norm",1,0.964415952206259,0.0201041548531361,0.9,0.747831170264003,1.21023587300103
2,1,2e+07,20000001,FALSE,FALSE,FALSE,1,"X4_row",1,1.08543600646871,0.0205785546372984,0.9,0.871379959795644,1.34384448572218
2,1,2e+07,20000001,FALSE,FALSE,FALSE,2,"intercept",-1,-1.25256842753827,0.0529670327091879,0.9,-1.62541340669844,-0.878526297462996
