"Run","Rep","Xseed","Yseed","Z_additive","Z_multiplicative","AddRE","MulREdim","Variable","TrueValue","Estimate","Variance","Confidence","CI_low","CI_high"
1,1,1e+07,10000001,FALSE,FALSE,FALSE,0,"intercept",-1,-0.710782765525453,0.027349764701252,0.9,-0.98372642915399,-0.429820231770079
1,1,1e+07,10000001,FALSE,FALSE,FALSE,0,"X1_groups",1,0.979261749742607,0.0103832949348861,0.9,0.824227023143387,1.14307704666106
1,1,1e+07,10000001,FALSE,FALSE,FALSE,0,"X2_dist",1,0.818324825773426,0.0122976996458963,0.9,0.64547253917132,1.01225656149121
1,1,1e+07,10000001,FALSE,FALSE,FALSE,0,"X3_norm",1,0.959617826441893,0.0152151910798123,0.9,0.767985150826567,1.14646257582392
1,1,1e+07,10000001,FALSE,FALSE,FALSE,0,"X4_row",1,0.961061394513168,0.0155789691821175,0.9,0.770358649719356,1.15159599932088
1,1,1e+07,10000001,FALSE,TRUE,FALSE,0,"intercept",-1,-0.528261900826755,0.022049267302866,0.9,-0.754411388847644,-0.267826171460796
1,1,1e+07,10000001,FALSE,TRUE,FALSE,0,"X1_groups",1,0.833527376909243,0.00797031969075575,0.9,0.693756431447939,0.979264179724369
1,1,1e+07,10000001,FALSE,TRUE,FALSE,0,"X2_dist",1,0.641644662151886,0.00898924051305341,0.9,0.488648879565753,0.794022691062263
1,1,1e+07,10000001,FALSE,TRUE,FALSE,0,"X3_norm",1,0.648986740111878,0.0112421863644087,0.9,0.484230915261678,0.82011460084238
1,1,1e+07,10000001,FALSE,TRUE,FALSE,0,"X4_row",1,0.759269239220381,0.0106642489569577,0.9,0.600191742284055,0.93501797651633
1,1,1e+07,10000001,FALSE,FALSE,FALSE,1,"intercept",-1,-0.813670457598846,0.0381937499230508,0.9,-1.1406992703025,-0.483854640178229
1,1,1e+07,10000001,FALSE,FALSE,FALSE,1,"X1_groups",1,1.07386594490588,0.0188127925812837,0.9,0.845530942602993,1.31077053279569
1,1,1e+07,10000001,FALSE,FALSE,FALSE,1,"X2_dist",1,0.909904819020618,0.0191624617920907,0.9,0.690704732064516,1.13887592133842
1,1,1e+07,10000001,FALSE,FALSE,FALSE,1,"X3_norm",1,1.04259453275636,0.0192492966972398,0.9,0.817160631260518,1.28694603782259
1,1,1e+07,10000001,FALSE,FALSE,FALSE,1,"X4_row",1,1.05967836295515,0.0240942734318637,0.9,0.806401583303463,1.32643232441758
1,1,1e+07,10000001,FALSE,FALSE,FALSE,2,"intercept",-1,-0.862501601392452,0.0446947302589941,0.9,-1.19555736677878,-0.515424365935268
1,1,1e+07,10000001,FALSE,FALSE,FALSE,2,"X1_groups",1,1.13680258136569,0.0188983277087749,0.9,0.914866947461513,1.37275306907102
1,1,1e+07,10000001,FALSE,FALSE,FALSE,2,"X2_dist",1,0.962855559386094,0.0214692383859219,0.9,0.744442475206956,1.21047750173083
1,1,1e+07,10000001,FALSE,FALSE,FALSE,2,"X3_norm",1,1.10111458453119,0.0226681260064737,0.9,0.853669189027815,1.3470598789486
1,1,1e+07,10000001,FALSE,FALSE,FALSE,2,"X4_row",1,1.12304320084735,0.0271264547566484,0.9,0.869650344300028,1.39581716502388
1,1,1e+07,10000001,FALSE,TRUE,FALSE,1,"intercept",-1,-0.620431987156507,0.0307612560916853,0.9,-0.9132380334062,-0.324544815836178
1,1,1e+07,10000001,FALSE,TRUE,FALSE,1,"X1_groups",1,0.923201475371756,0.0120469828898599,0.9,0.743645790170855,1.08979779075107
1,1,1e+07,10000001,FALSE,TRUE,FALSE,1,"X2_dist",1,0.725985611186191,0.0139718028375456,0.9,0.535605534459791,0.926404690146178
1,1,1e+07,10000001,FALSE,TRUE,FALSE,1,"X3_norm",1,0.733927477473268,0.0145037858416084,0.9,0.54563246303332,0.931726755822139
1,1,1e+07,10000001,FALSE,TRUE,FALSE,1,"X4_row",1,0.867368969274503,0.0179203934938441,0.9,0.675058079634735,1.09852382148588
1,1,1e+07,10000001,FALSE,TRUE,FALSE,2,"intercept",-1,-0.699646580597495,0.043648979870813,0.9,-1.07089286054009,-0.360981410856657
1,1,1e+07,10000001,FALSE,TRUE,FALSE,2,"X1_groups",1,1.03631989820435,0.0185475169758943,0.9,0.84262853529097,1.2716220956781
1,1,1e+07,10000001,FALSE,TRUE,FALSE,2,"X2_dist",1,0.811297251886232,0.0197240092778584,0.9,0.600047430599781,1.06748315960316
1,1,1e+07,10000001,FALSE,TRUE,FALSE,2,"X3_norm",1,0.822291744811229,0.0213821569658348,0.9,0.589962447685831,1.07685341753464
1,1,1e+07,10000001,FALSE,TRUE,FALSE,2,"X4_row",1,0.98457983338261,0.0259837085135745,0.9,0.737060353003964,1.26297325949743
1,2,1e+07,10000002,FALSE,FALSE,FALSE,0,"intercept",-1,-1.15415067540839,0.0266449777591228,0.9,-1.41748116285822,-0.879185983106724
1,2,1e+07,10000002,FALSE,FALSE,FALSE,0,"X1_groups",1,0.738723573673384,0.00862637772541438,0.9,0.592789453925952,0.889507215426271
1,2,1e+07,10000002,FALSE,FALSE,FALSE,0,"X2_dist",1,1.01749823584988,0.0132027143987382,0.9,0.852172887423502,1.21099870781484
1,2,1e+07,10000002,FALSE,FALSE,FALSE,0,"X3_norm",1,0.771753074994609,0.0129674837660114,0.9,0.589311120996816,0.963720188251301
1,2,1e+07,10000002,FALSE,FALSE,FALSE,0,"X4_row",1,0.943081960219384,0.0140552665445365,0.9,0.75901323891967,1.15228418122256
1,2,1e+07,10000002,FALSE,TRUE,FALSE,0,"intercept",-1,-1.04009792636973,0.024858107940022,0.9,-1.27852795699121,-0.796804057172432
1,2,1e+07,10000002,FALSE,TRUE,FALSE,0,"X1_groups",1,0.730182498768623,0.00785221166046834,0.9,0.586935615816918,0.869889347071623
1,2,1e+07,10000002,FALSE,TRUE,FALSE,0,"X2_dist",1,0.926858064418253,0.012125133963962,0.9,0.747822116431071,1.12222552208382
1,2,1e+07,10000002,FALSE,TRUE,FALSE,0,"X3_norm",1,0.622001407567743,0.0106852018138974,0.9,0.455609195195532,0.786865436994621
1,2,1e+07,10000002,FALSE,TRUE,FALSE,0,"X4_row",1,0.826574706802093,0.0129301060511612,0.9,0.667001842079308,1.0124671515489
1,2,1e+07,10000002,FALSE,FALSE,FALSE,1,"intercept",-1,-1.24594388442985,0.0376753751505073,0.9,-1.56953408867896,-0.946272473956652
1,2,1e+07,10000002,FALSE,FALSE,FALSE,1,"X1_groups",1,0.794750701801962,0.0132653343745434,0.9,0.612077357027459,0.972493386208629
1,2,1e+07,10000002,FALSE,FALSE,FALSE,1,"X2_dist",1,1.09152013684041,0.0189878227946662,0.9,0.874555818747674,1.32992712662124
1,2,1e+07,10000002,FALSE,FALSE,FALSE,1,"X3_norm",1,0.818319501040377,0.0154222330425483,0.9,0.619343505168283,1.02958030924801
1,2,1e+07,10000002,FALSE,FALSE,FALSE,1,"X4_row",1,1.00640318223599,0.0203501339766837,0.9,0.787575571133705,1.25042894459893
1,2,1e+07,10000002,FALSE,FALSE,FALSE,2,"intercept",-1,-1.33388740835054,0.0521126244051563,0.9,-1.75401835574466,-0.991401032978687
1,2,1e+07,10000002,FALSE,FALSE,FALSE,2,"X1_groups",1,0.867928571440375,0.0159477492289446,0.9,0.679725656896074,1.09749212582574
1,2,1e+07,10000002,FALSE,FALSE,FALSE,2,"X2_dist",1,1.16905031580641,0.0236293000108665,0.9,0.953079474056933,1.4357086973949
1,2,1e+07,10000002,FALSE,FALSE,FALSE,2,"X3_norm",1,0.873751608929704,0.0200303757406771,0.9,0.651850086071499,1.09729148144286
1,2,1e+07,10000002,FALSE,FALSE,FALSE,2,"X4_row",1,1.08704284073853,0.0247541845697424,0.9,0.847249216845928,1.35823387456547
1,2,1e+07,10000002,FALSE,TRUE,FALSE,1,"intercept",-1,-1.28166957899189,0.0425073307454449,0.9,-1.61805890393047,-0.934027021911027
1,2,1e+07,10000002,FALSE,TRUE,FALSE,1,"X1_groups",1,0.91063679809976,0.0160649672030468,0.9,0.723806882916051,1.13455782900653
1,2,1e+07,10000002,FALSE,TRUE,FALSE,1,"X2_dist",1,1.13686452735647,0.0214130113285482,0.9,0.901102090088486,1.38636960526912
1,2,1e+07,10000002,FALSE,TRUE,FALSE,1,"X3_norm",1,0.819411809242968,0.0202067316815626,0.9,0.59407222768297,1.05387738935518
1,2,1e+07,10000002,FALSE,TRUE,FALSE,1,"X4_row",1,1.01616251840882,0.0229738868336156,0.9,0.78465953988745,1.26719992805704
1,2,1e+07,10000002,FALSE,TRUE,FALSE,2,"intercept",-1,-1.37993501883654,0.0551380081963442,0.9,-1.77233147929471,-1.00822774868327
1,2,1e+07,10000002,FALSE,TRUE,FALSE,2,"X1_groups",1,0.985401001910336,0.0179971621046814,0.9,0.782051498793661,1.21954534829221
1,2,1e+07,10000002,FALSE,TRUE,FALSE,2,"X2_dist",1,1.2272039154825,0.025992335590199,0.9,0.974466818407932,1.50494806899421
1,2,1e+07,10000002,FALSE,TRUE,FALSE,2,"X3_norm",1,0.876598119832812,0.0253978102881188,0.9,0.623325716004311,1.140620138022
1,2,1e+07,10000002,FALSE,TRUE,FALSE,2,"X4_row",1,1.09814036461141,0.0267834127294554,0.9,0.837131975007235,1.38811944002987
1,3,1e+07,10000003,FALSE,FALSE,FALSE,0,"intercept",-1,-0.96537489637172,0.0271014681988539,0.9,-1.24620277454004,-0.713330733283305
1,3,1e+07,10000003,FALSE,FALSE,FALSE,0,"X1_groups",1,0.83526477273133,0.0107064595097945,0.9,0.666355165877922,1.01974798935156
1,3,1e+07,10000003,FALSE,FALSE,FALSE,0,"X2_dist",1,0.963973323352204,0.013386618475474,0.9,0.788456644637373,1.17649782786927
1,3,1e+07,10000003,FALSE,FALSE,FALSE,0,"X3_norm",1,0.949163144989252,0.0157640518718187,0.9,0.743593409468204,1.16673039382021
1,3,1e+07,10000003,FALSE,FALSE,FALSE,0,"X4_row",1,1.07605100850137,0.0169368733043291,0.9,0.870813607625697,1.3017104672214
1,3,1e+07,10000003,FALSE,TRUE,FALSE,0,"intercept",-1,-0.73175249683521,0.0184968417525469,0.9,-0.944192309037336,-0.522723407848065
1,3,1e+07,10000003,FALSE,TRUE,FALSE,0,"X1_groups",1,0.75157655622999,0.00799826553084138,0.9,0.613604396299265,0.904486187132401
1,3,1e+07,10000003,FALSE,TRUE,FALSE,0,"X2_dist",1,0.73309209767399,0.00788948445223777,0.9,0.594749407430391,0.873458020272388
