"Run","Rep","Xseed","Yseed","Z_additive","Z_multiplicative","prior","projected","AddRE","MulREdim","Variable","TrueValue","Estimate","Variance","Confidence","CI_low","CI_high"
17,71,1.7e+08,170000071,FALSE,FALSE,"IG",FALSE,FALSE,0,"intercept",-1,-0.976143697763931,0.00183695225953542,0.9,-1.04319278202489,-0.906662565012226
17,71,1.7e+08,170000071,FALSE,FALSE,"IG",FALSE,FALSE,0,"X1_groups",1,0.951422746965845,0.000787531731419729,0.9,0.905148669769216,0.99948652913975
17,71,1.7e+08,170000071,FALSE,FALSE,"IG",FALSE,FALSE,0,"X2_dist",1,0.98307371299263,0.00108730844593194,0.9,0.928995234203512,1.03489948509607
17,71,1.7e+08,170000071,FALSE,FALSE,"IG",FALSE,FALSE,0,"X3_norm",1,0.985205036830783,0.000934187300365384,0.9,0.935047461903516,1.03861317792396
17,71,1.7e+08,170000071,FALSE,FALSE,"IG",FALSE,FALSE,0,"X4_row",1,1.00024488304688,0.000849941580991493,0.9,0.953620890936145,1.04632533672153
17,71,1.7e+08,170000071,TRUE,FALSE,"IG",FALSE,FALSE,0,"intercept",-1,-0.528265323935497,0.00101557181370975,0.9,-0.582638904642512,-0.477193478979414
17,71,1.7e+08,170000071,TRUE,FALSE,"IG",FALSE,FALSE,0,"X1_groups",1,0.580140788126581,0.00037818416326361,0.9,0.550354965196678,0.612091897182201
17,71,1.7e+08,170000071,TRUE,FALSE,"IG",FALSE,FALSE,0,"X2_dist",1,0.564815464205068,0.000481566156248473,0.9,0.529069342176768,0.599082416233212
17,71,1.7e+08,170000071,TRUE,FALSE,"IG",FALSE,FALSE,0,"X3_norm",1,0.59189956085542,0.000470598793755491,0.9,0.556773121568468,0.629282919473411
17,71,1.7e+08,170000071,TRUE,FALSE,"IG",FALSE,FALSE,0,"X4_row",1,0.594365288057987,0.0004323230082479,0.9,0.563105057282954,0.632055997079975
17,71,1.7e+08,170000071,FALSE,FALSE,"IG",FALSE,TRUE,0,"intercept",-1,-0.990207554701384,0.00250058634199765,0.9,-1.06948246108939,-0.907590339738916
17,71,1.7e+08,170000071,FALSE,FALSE,"IG",FALSE,TRUE,0,"X1_groups",1,0.972912430493187,0.000670369379118638,0.9,0.932077621678533,1.01078391746373
17,71,1.7e+08,170000071,FALSE,FALSE,"IG",FALSE,TRUE,0,"X2_dist",1,1.00225910656592,0.00109930536934729,0.9,0.945206806754637,1.05846696448488
