Country,Pop2015
Sweden,9340682
Russia,143456918
Italy,60340328
Belgium,10839905
Australia,22299800
Estonia,1340127
Serbia,7291436
Norway,4858199
Latvia,2248374
Israel,7623600
Azerbaijan,8997586
Spain,45989016
Slovenia,2046976
Georgia,4436391
UnitedKingdom,64715810
Greece,11305118
Romania,21462186
Armenia,3249482
Albania,3195000
Hungary,10014324
Cyprus,1102677
France,64395345
Lithuania,3329039
Poland,38167329
Austria,8375290
Montenegro,616411
Germany,78728000
